Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,record_date
118,7.7,3.8,6.7,2.2,Iris-virginica,2020-04-27
119,7.7,2.6,6.9,2.3,Iris-virginica,2020-04-28
120,6.0,2.2,5.0,1.5,Iris-virginica,2020-04-29
121,6.9,3.2,5.7,2.3,Iris-virginica,2020-04-30
122,5.6,2.8,4.9,2.0,Iris-virginica,2020-05-01
123,7.7,2.8,6.7,2.0,Iris-virginica,2020-05-02
124,6.3,2.7,4.9,1.8,Iris-virginica,2020-05-03
125,6.7,3.3,5.7,2.1,Iris-virginica,2020-05-04
126,7.2,3.2,6.0,1.8,Iris-virginica,2020-05-05
127,6.2,2.8,4.8,1.8,Iris-virginica,2020-05-06
128,6.1,3.0,4.9,1.8,Iris-virginica,2020-05-07
129,6.4,2.8,5.6,2.1,Iris-virginica,2020-05-08
130,7.2,3.0,5.8,1.6,Iris-virginica,2020-05-09
131,7.4,2.8,6.1,1.9,Iris-virginica,2020-05-10
132,7.9,3.8,6.4,2.0,Iris-virginica,2020-05-11
133,6.4,2.8,5.6,2.2,Iris-virginica,2020-05-12
134,6.3,2.8,5.1,1.5,Iris-virginica,2020-05-13
135,6.1,2.6,5.6,1.4,Iris-virginica,2020-05-14
136,7.7,3.0,6.1,2.3,Iris-virginica,2020-05-15
137,6.3,3.4,5.6,2.4,Iris-virginica,2020-05-16
138,6.4,3.1,5.5,1.8,Iris-virginica,2020-05-17
139,6.0,3.0,4.8,1.8,Iris-virginica,2020-05-18
140,6.9,3.1,5.4,2.1,Iris-virginica,2020-05-19
141,6.7,3.1,5.6,2.4,Iris-virginica,2020-05-20
142,6.9,3.1,5.1,2.3,Iris-virginica,2020-05-21
143,5.8,2.7,5.1,1.9,Iris-virginica,2020-05-22
144,6.8,3.2,5.9,2.3,Iris-virginica,2020-05-23
145,6.7,3.3,5.7,2.5,Iris-virginica,2020-05-24
146,6.7,3.0,5.2,2.3,Iris-virginica,2020-05-25
147,6.3,2.5,5.0,1.9,Iris-virginica,2020-05-26
148,6.5,3.0,5.2,2.0,Iris-virginica,2020-05-27
149,6.2,3.4,5.4,2.3,Iris-virginica,2020-05-28
150,5.9,3.0,5.1,1.8,Iris-virginica,2020-05-29
